task,model_name,capacity_name,dataset_size,resolution,n_runs,n_success,n_diverged,n_nan,n_data_seeds,n_train_seeds,n_seed_pairs,convergence_rate,divergence_rate,data_seeds,train_seeds
burgers_operator,deeponet,large,5000,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,384,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,large,5000,512,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,16,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,48,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,96,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,192,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,384,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,50,512,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,16,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,48,6,2,4,4,2,3,6,0.3333333333333333,0.6666666666666666,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,96,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,192,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,384,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,100,512,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,150,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,150,64,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,150,128,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,150,256,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,200,16,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
burgers_operator,deeponet,med-large,200,32,6,6,0,0,2,3,6,1.0,0.0,"11,22","101,202,303"
