task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,convergence_rate,divergence_rate,instability_rate,seed_cv_test_rel_l2,median_test_rel_l2,s_n,s_r,s_c,is_r48,regime
burgers_operator,deeponet,large,2000,48,276225,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,2000,64,280321,6,6,1.0,0.0,0.0,0.0227076806060609,0.382561132311821,0.011630110452543727,-0.2951708553083525,-0.11223655061663489,False,resolution_sensitive
burgers_operator,deeponet,large,2000,96,288513,6,6,1.0,0.0,0.0,0.0355837113967485,0.3506612628698348,-0.007738166935649274,-0.270153905842177,-0.18152976919997152,False,resolution_sensitive
burgers_operator,deeponet,large,2000,128,296705,6,6,1.0,0.0,0.0,0.0430492038439706,0.3172315806150436,0.02084075136302406,-0.1706606222980391,-0.23781369082913878,False,capacity_limited
burgers_operator,deeponet,large,2000,192,313089,6,6,1.0,0.0,0.0,0.0623559788658184,0.3115400075912475,-0.04358016560381977,-0.02737373630293687,-0.2310555512151965,False,capacity_limited
burgers_operator,deeponet,large,2000,256,329473,6,6,1.0,0.0,0.0,0.0390657465506285,0.3112691640853882,0.01001215686447099,0.04949799458059985,-0.17128623199938647,False,mixed
burgers_operator,deeponet,large,2000,384,362241,6,6,1.0,0.0,0.0,0.0590185847205087,0.3224142342805862,0.014233251990510627,0.016444250095732603,-0.23467975129733704,False,capacity_limited
burgers_operator,deeponet,large,2000,512,395009,6,6,1.0,0.0,0.0,0.0285757842922193,0.3148373961448669,0.011985812249843308,-0.0826636766660915,-0.31701402332497575,False,capacity_limited
burgers_operator,deeponet,large,3000,32,272129,6,6,1.0,0.0,0.0,0.0241607601367344,0.4971386045217514,0.012572300451398117,-0.34452223709030144,-0.699817362359663,False,mixed
burgers_operator,deeponet,large,3000,64,280321,6,6,1.0,0.0,0.0,0.0205678549121345,0.3915308266878128,0.04552489408304313,-0.34452223709030144,-0.10843637274940303,False,resolution_sensitive
burgers_operator,deeponet,large,3000,128,296705,6,6,1.0,0.0,0.0,0.0618646539706609,0.3237584084272384,0.03396258331025411,,-0.20292340275569948,False,ambiguous
burgers_operator,deeponet,large,3000,256,329473,6,6,1.0,0.0,0.0,0.0743042899602348,0.3162572085857391,-0.0005868772053214749,,-0.2766312759773998,False,ambiguous
burgers_operator,deeponet,large,5000,16,268033,6,6,1.0,0.0,0.0,0.3122062366042487,0.2310001701116561,,1.086638566689556,-0.5800947703868892,False,ambiguous
burgers_operator,deeponet,large,5000,32,272129,6,6,1.0,0.0,0.0,0.0291094379323689,0.4905949831008911,-0.025938330445992027,0.3939885138641789,-0.579640591732339,False,mixed
burgers_operator,deeponet,large,5000,48,276225,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,large,5000,64,280321,6,6,1.0,0.0,0.0,0.0404989960139042,0.3988568186759949,0.03629075934074225,-0.316750813781979,-0.10223925769042144,False,resolution_sensitive
burgers_operator,deeponet,large,5000,96,288513,6,6,1.0,0.0,0.0,0.0154162662902884,0.3464132994413376,,-0.28543844929454565,-0.169368065831444,False,ambiguous
burgers_operator,deeponet,large,5000,128,296705,6,6,1.0,0.0,0.0,0.0273919852892605,0.3272589147090912,0.021052313248946627,-0.0007601665605113535,-0.1806214406835092,False,mixed
burgers_operator,deeponet,large,5000,192,313089,6,6,1.0,0.0,0.0,0.0400865677056308,0.3462308198213577,,-0.0730456388216778,-0.19898878075040421,False,ambiguous
burgers_operator,deeponet,large,5000,256,329473,6,6,1.0,0.0,0.0,0.056238529930862,0.3111018240451813,-0.03217451487576615,-0.1042204254152707,-0.30467106520709175,False,capacity_limited
burgers_operator,deeponet,large,5000,384,362241,6,6,1.0,0.0,0.0,0.0500322147565837,0.322101131081581,,0.09780160304905477,-0.2329242681858388,False,ambiguous
burgers_operator,deeponet,large,5000,512,395009,6,6,1.0,0.0,0.0,0.0417025611817008,0.3329229801893234,,0.11486848766099379,-0.3095218660386632,False,ambiguous
burgers_operator,deeponet,med-large,50,16,151873,6,6,1.0,0.0,0.0,0.0888739685485396,0.6349510550498962,-0.28769375661061275,-0.11364629601111191,0.02060593154228937,False,data_limited
burgers_operator,deeponet,med-large,50,32,154945,6,6,1.0,0.0,0.0,0.0228358899143235,0.5868529677391052,-0.10285273780030463,-0.1826694688749359,0.01513660631513242,False,mixed
burgers_operator,deeponet,med-large,50,48,158017,6,6,1.0,0.0,0.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,50,64,161089,6,6,1.0,0.0,0.0,0.05332265641208,0.4929039180278778,-0.14623056988181712,-0.22713235872555457,0.004590779633810338,False,resolution_sensitive
burgers_operator,deeponet,med-large,50,96,167233,6,6,1.0,0.0,0.0,0.0823253540681482,0.4572562277317047,-0.13858301697172135,-0.14531108305966456,0.0002214755147844801,False,mixed
burgers_operator,deeponet,med-large,50,128,173377,6,6,1.0,0.0,0.0,0.0430471329989708,0.4456760287284851,-0.15906010338146345,-0.05282145029759013,-0.01352576465083497,False,mixed
burgers_operator,deeponet,med-large,50,192,185665,6,6,1.0,0.0,0.0,0.0477376432899773,0.4408174604177474,-0.1780522006056527,-0.04116738341089029,-0.03297338272654641,False,mixed
burgers_operator,deeponet,med-large,50,256,197953,6,6,1.0,0.0,0.0,0.0497753097182252,0.4331383705139159,-0.14299714870554442,0.01927206878668594,-0.03677503073370238,False,mixed
burgers_operator,deeponet,med-large,50,384,222529,6,6,1.0,0.0,0.0,0.0657407967240129,0.4467455744743346,-0.18121041632111776,0.06396352302563915,-0.02634426219215241,False,mixed
burgers_operator,deeponet,med-large,50,512,247105,6,6,1.0,0.0,0.0,0.0406880946387594,0.4527741223573684,-0.1826969016839868,0.04659354309232194,-0.044438206572663584,False,mixed
burgers_operator,deeponet,med-large,100,16,151873,6,6,1.0,0.0,0.0,0.1489754483712269,0.5201586186885834,-0.28769375661061275,0.07119472279919609,0.0505129147797205,False,data_limited
burgers_operator,deeponet,med-large,100,32,154945,6,6,1.0,0.0,0.0,0.0115462248835967,0.5464715361595154,-0.0773687329712874,-0.11193787551053812,0.0056805118995620916,False,mixed
burgers_operator,deeponet,med-large,100,48,158017,6,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,100,64,161089,6,6,1.0,0.0,0.0,0.0215813232030348,0.4453920722007751,-0.13191875891702387,-0.2496756549582159,0.007988346895802205,False,resolution_sensitive
burgers_operator,deeponet,med-large,100,96,167233,6,6,1.0,0.0,0.0,0.0250128311222017,0.4153765588998794,-0.13858301697172135,-0.15814061655931086,0.005514221265061106,False,mixed
burgers_operator,deeponet,med-large,100,128,173377,6,6,1.0,0.0,0.0,0.0360826288079379,0.3991511762142181,-0.16173178220481538,-0.09229063393152145,-0.02242171383673697,False,mixed
burgers_operator,deeponet,med-large,100,192,185665,6,6,1.0,0.0,0.0,0.0196964804219622,0.3896365910768509,-0.1780522006056527,-0.025104428734971276,-0.024495107298044178,False,mixed
burgers_operator,deeponet,med-large,100,256,197953,6,6,1.0,0.0,0.0,0.0689807552174836,0.3922656029462814,-0.1609829568095713,0.01611385307122087,-0.049301025979885775,False,mixed
burgers_operator,deeponet,med-large,100,384,222529,6,6,1.0,0.0,0.0,0.027232087740456,0.3940129429101944,-0.18121041632111776,0.024263770047196785,-0.04173880946122416,False,mixed
burgers_operator,deeponet,med-large,100,512,247105,6,6,1.0,0.0,0.0,0.0429415108797614,0.3989186584949493,-0.1826969016839868,0.043011974281185784,-0.057243574776038156,False,mixed
burgers_operator,deeponet,med-large,150,32,154945,6,6,1.0,0.0,0.0,0.0281147516375429,0.5390326082706451,-0.057659807266583644,-0.3381523872761184,-0.0021179745916956507,False,resolution_sensitive
burgers_operator,deeponet,med-large,150,64,161089,6,6,1.0,0.0,0.0,0.017803465819635,0.4264037609100342,-0.0775391032611286,-0.3381523872761184,-0.007921559669379975,False,resolution_sensitive
burgers_operator,deeponet,med-large,150,128,173377,6,6,1.0,0.0,0.0,0.0420782324594597,0.373124361038208,-0.13320864590103454,,-0.03164565643965791,False,ambiguous
burgers_operator,deeponet,med-large,150,256,197953,6,6,1.0,0.0,0.0,0.0253363808343828,0.3629261553287506,-0.1244284072893229,,-0.028625646604801342,False,ambiguous
burgers_operator,deeponet,med-large,200,16,151873,6,6,1.0,0.0,0.0,0.1660868766827013,0.4701991975307464,,0.15921446871224454,-0.13775846682521362,False,ambiguous
burgers_operator,deeponet,med-large,200,32,154945,6,6,1.0,0.0,0.0,0.0183032492612467,0.5250615477561951,-0.054584927179154655,-0.07786765055128636,-0.011363321433074322,False,mixed
burgers_operator,deeponet,med-large,200,48,158017,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,200,64,161089,6,6,1.0,0.0,0.0,0.0200327153071594,0.4220859408378601,-0.03126398495291567,-0.287695118552031,-0.0077060649746844385,False,resolution_sensitive
burgers_operator,deeponet,med-large,200,96,167233,6,6,1.0,0.0,0.0,0.0278244064320709,0.3827760517597198,,-0.2138101591992168,-0.02580449391219059,False,ambiguous
burgers_operator,deeponet,med-large,200,128,173377,6,6,1.0,0.0,0.0,0.0702679115205732,0.3639465570449829,-0.1010433716258042,-0.12296840154980697,-0.032618250336885216,False,mixed
burgers_operator,deeponet,med-large,200,192,185665,6,6,1.0,0.0,0.0,0.010407885821666,0.3515018224716186,,-0.016324190123259637,-0.025951588530270863,False,ambiguous
burgers_operator,deeponet,med-large,200,256,197953,6,6,1.0,0.0,0.0,0.0326147435880461,0.3598516881465912,-0.11332526079341007,-0.0032061391511061217,-0.07251140312207226,False,mixed
burgers_operator,deeponet,med-large,200,384,222529,6,6,1.0,0.0,0.0,0.0237222088170922,0.350721538066864,,-0.005634810414588443,-0.04319165566711822,False,ambiguous
burgers_operator,deeponet,med-large,200,512,247105,6,6,1.0,0.0,0.0,0.0252164726385595,0.3584489375352859,,0.07575601180413671,-0.03605129679101725,False,ambiguous
burgers_operator,deeponet,med-large,300,32,154945,6,6,1.0,0.0,0.0,0.0146387326935036,0.5190190970897675,-0.016065609633528925,-0.3148314450498794,-0.015443255258114238,False,resolution_sensitive
burgers_operator,deeponet,med-large,300,64,161089,6,6,1.0,0.0,0.0,0.0499138479148795,0.4172627627849579,-0.08464199721058373,-0.3148314450498794,-0.02560943564362509,False,resolution_sensitive
burgers_operator,deeponet,med-large,300,128,173377,6,6,1.0,0.0,0.0,0.051373785788035,0.3478856533765793,-0.08123908608966698,,-0.02581735439257988,False,ambiguous
burgers_operator,deeponet,med-large,300,256,197953,6,6,1.0,0.0,0.0,0.0385476724716419,0.3355088382959365,-0.1310347859770132,,-0.044290535233330874,False,ambiguous
burgers_operator,deeponet,med-large,500,16,151873,6,6,1.0,0.0,0.0,0.1622561899799103,0.2788896411657333,,0.891554615630527,-0.03800190113951743,False,ambiguous
burgers_operator,deeponet,med-large,500,32,154945,6,6,1.0,0.0,0.0,0.0259355748214196,0.5173888504505157,-0.03565007456139487,0.24297589621585822,-0.009870807486808617,False,resolution_sensitive
burgers_operator,deeponet,med-large,500,48,158017,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,500,64,161089,6,6,1.0,0.0,0.0,0.0150930677942001,0.3905875980854034,-0.0223869465164359,-0.33745353577362697,-0.010717384104150416,False,resolution_sensitive
burgers_operator,deeponet,med-large,500,96,167233,6,6,1.0,0.0,0.0,0.0594554581218342,0.357117235660553,,-0.20931175538407232,-0.0351218035033689,False,ambiguous
burgers_operator,deeponet,med-large,500,128,173377,6,6,1.0,0.0,0.0,0.0356319797834748,0.3378386497497558,0.00657145041057903,-0.12563422975685584,-0.026593484434184255,False,mixed
burgers_operator,deeponet,med-large,500,192,185665,6,6,1.0,0.0,0.0,0.0667302481695159,0.3273340165615082,,-0.08215052480892208,-0.07596429027682057,False,ambiguous
burgers_operator,deeponet,med-large,500,256,197953,6,6,1.0,0.0,0.0,0.0682107953942008,0.3191387653350829,-0.009552831235318434,0.026668959410906003,-0.056063036213672104,False,mixed
burgers_operator,deeponet,med-large,500,384,222529,6,6,1.0,0.0,0.0,0.0382528909097992,0.3334412276744842,,0.053631829220122613,-0.09752626875978067,False,ambiguous
burgers_operator,deeponet,med-large,500,512,247105,6,6,1.0,0.0,0.0,0.0560748174003892,0.3312259465456009,,-0.02317092770045746,-0.045745891070609127,False,ambiguous
burgers_operator,deeponet,med-large,750,32,154945,6,6,1.0,0.0,0.0,0.011781163409995,0.5023388266563416,-0.04272444425604861,-0.29729854346115964,0.00846226901317958,False,resolution_sensitive
burgers_operator,deeponet,med-large,750,64,161089,6,6,1.0,0.0,0.0,0.0289426212800955,0.4087906628847122,0.02057384448312216,-0.29729854346115964,-0.0035612291036451267,False,resolution_sensitive
burgers_operator,deeponet,med-large,750,128,173377,6,6,1.0,0.0,0.0,0.0514732083334981,0.3499867171049118,0.0024098204287622605,,-0.036713333310238565,False,ambiguous
burgers_operator,deeponet,med-large,750,256,197953,6,6,1.0,0.0,0.0,0.0664241918860487,0.3325848877429962,0.0695292114217754,,-0.10194477730670817,False,ambiguous
burgers_operator,deeponet,med-large,1000,16,151873,6,6,1.0,0.0,0.0,0.0643399989106747,0.2299678698182105,-0.19138599242821397,1.1270922127997884,-0.030647090998708486,False,resolution_sensitive
burgers_operator,deeponet,med-large,1000,32,154945,6,6,1.0,0.0,0.0,0.0201444453570339,0.5022913813591003,-0.026390492475632635,0.3923938391700744,0.01089615795911906,False,resolution_sensitive
burgers_operator,deeponet,med-large,1000,48,158017,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,1000,64,161089,6,6,1.0,0.0,0.0,0.0421490483411578,0.3961975574493408,-0.030978982658247,-0.32684614559281977,-0.06799438575090602,False,resolution_sensitive
burgers_operator,deeponet,med-large,1000,96,167233,6,6,1.0,0.0,0.0,0.0504722035683101,0.3507603406906127,0.013660355768545022,-0.22747577943843222,0.010880721376191307,False,resolution_sensitive
burgers_operator,deeponet,med-large,1000,128,173377,6,6,1.0,0.0,0.0,0.042331142548458,0.3384034335613251,-0.036400793083408704,-0.0995790013096632,-0.08557736295775496,False,mixed
burgers_operator,deeponet,med-large,1000,192,185665,6,6,1.0,0.0,0.0,0.0364951464277164,0.3273664861917496,-0.013692668262758617,-0.015031133815908936,-0.061253525817149726,False,mixed
burgers_operator,deeponet,med-large,1000,256,197953,6,6,1.0,0.0,0.0,0.0745434219219464,0.334895983338356,-0.039107838527299474,-0.004727499922216682,-0.049180392189996494,False,mixed
burgers_operator,deeponet,med-large,1000,384,222529,6,6,1.0,0.0,0.0,0.0723181883435558,0.3262955099344253,-0.06633399187182756,-0.04752114398384501,-0.03177636117000655,False,mixed
burgers_operator,deeponet,med-large,1000,512,247105,6,6,1.0,0.0,0.0,0.0556206744259814,0.3240444958209991,0.07311746210842325,-0.02406338273874772,-0.11338729482710613,False,mixed
burgers_operator,deeponet,med-large,2000,16,151873,6,6,1.0,0.0,0.0,0.1862058219699259,0.2013975754380226,-0.19138599242821397,1.2812709359950472,-0.0585710963805699,False,resolution_sensitive
burgers_operator,deeponet,med-large,2000,32,154945,6,6,1.0,0.0,0.0,0.0222015133439402,0.4895028471946716,-0.01495954226221688,0.48873975343020787,-0.02066379999626898,False,resolution_sensitive
burgers_operator,deeponet,med-large,2000,48,158017,6,0,0.0,1.0,1.0,,,,,,True,data_bug_r48
burgers_operator,deeponet,med-large,2000,64,161089,6,6,1.0,0.0,0.0,0.0456252061565202,0.396556332707405,-0.007558846747314375,-0.2947522474858578,-0.024494617410281628,False,resolution_sensitive
