task,model_name,capacity_name,dataset_size,n_off_diagonal,mean_degradation,worst_degradation,worst_pair_r_train,worst_pair_r_eval,train_low_eval_high,train_high_eval_low,transfer_asymmetry
burgers_operator,fno,xlarge,50,16,1.1000859704381547,1.844007574253526,256,32,0.8996172773924822,1.4342004588476087,1.5942340091606535
burgers_operator,fno,xlarge,100,16,1.325182125582009,2.546731804697433,256,32,1.0976392147388514,1.7044203103206053,1.552805591704482
burgers_operator,fno,xlarge,500,16,3.4563331798694175,7.60993433285287,256,32,2.6776989717475432,4.754056860072542,1.775426181296962
burgers_operator,fno,xlarge,1000,16,4.263802032816905,8.746232110452759,128,32,3.5121576709341,5.516542635954914,1.5706990268713432
burgers_operator,fno,xlarge,5000,16,4.567353476831866,8.417215560595702,128,32,3.91061140793972,5.661923591652109,1.44783590109636
darcy,deeponet,large,50,16,1.1729470447518828,1.426667475068008,256,64,1.109981583989097,1.2778894793565259,1.1512708839402495
darcy,deeponet,large,100,16,0.9511245597322779,1.0873461377412532,256,512,0.964748242682916,0.9284184214812145,0.9623426925343028
darcy,deeponet,large,500,16,1.063496015895315,1.156484204865412,256,32,1.0785606655290374,1.0383882665057775,0.9627536954506354
darcy,deeponet,large,1000,16,1.0188109770450284,1.0793750074705992,256,64,1.0114298771513686,1.0311128102011284,1.0194605019036966
darcy,deeponet,large,5000,16,0.992896927137575,1.0335364318737106,64,32,0.9914783464425984,0.9952612282958694,1.0038153953304618
darcy,deeponet,med-large,50,16,1.1839300770454042,1.5136359153285188,128,512,1.1346897345417206,1.2659973145515437,1.1157211315239894
darcy,deeponet,med-large,100,16,1.210906010960408,1.4489007779695935,32,512,1.2921321729482518,1.0755290743140016,0.8323676918128059
darcy,deeponet,med-large,500,16,1.1107812512239739,1.2583610423779807,256,512,1.1179444348854435,1.0988426117881909,0.98291344140086
darcy,deeponet,med-large,1000,16,1.022381071883356,1.1248521325734442,32,512,1.043085404532862,0.9878738508008458,0.9470689998229415
darcy,deeponet,med-large,5000,16,0.9861079384326537,1.0920825282775275,256,512,0.9749634269563046,1.0046821242265687,1.0304818585483166
darcy,deeponet,medium,50,16,1.4477974216874638,1.7985513701206353,32,512,1.506082090300985,1.3506563073315958,0.8968012540814904
darcy,deeponet,medium,100,16,1.1316080350914095,1.4245693867236449,128,512,1.1093958034435412,1.1686284211711906,1.0533917809530131
darcy,deeponet,medium,500,16,1.084566848723939,1.1311370317956644,64,512,1.1126266799321054,1.037800463376995,0.9327481374438402
darcy,deeponet,medium,1000,16,0.9956629293254414,1.062904935558202,64,512,0.9987206236813229,0.9905667720656391,0.9918357031763014
darcy,deeponet,medium,5000,16,1.0054196032416136,1.0699922050564468,64,512,1.0086936984500343,0.9999627778942456,0.9913443292357187
darcy,deeponet,small,50,16,1.2048933539281426,1.4082513054061139,32,512,1.25221594086396,1.1260223757017809,0.8992237991515166
darcy,deeponet,small,100,16,1.0605928202805315,1.2335799508490533,128,512,1.1016755393171542,0.9921216218861608,0.9005570029276518
darcy,deeponet,small,500,16,1.072663316287477,1.2268733683125415,32,512,1.1112992964559254,1.0082700160067302,0.907289349702849
darcy,deeponet,small,1000,16,1.038843514912507,1.0643446195221906,256,32,1.0407853436163201,1.035607133739485,0.9950247090732053
darcy,deeponet,small,5000,16,1.0268046617848001,1.0822481067948322,32,512,1.0326543891564097,1.0170551161654513,0.9848940040784587
darcy,deeponet,small-med,50,16,1.2892211117667578,1.840188482962705,128,512,1.2320063776971328,1.3845790018828001,1.1238407746483068
darcy,deeponet,small-med,100,16,1.3544641265984252,2.199828702465464,32,512,1.534637157433476,1.0541757418733406,0.6869218152102754
darcy,deeponet,small-med,500,16,1.1428495973567254,1.4046746785793074,32,512,1.1857574554773405,1.0713365004890338,0.9035039126595708
darcy,deeponet,small-med,1000,16,1.025413121076627,1.066943359974311,64,128,1.0270813861953463,1.022632679212095,0.9956685935087084
darcy,deeponet,small-med,5000,16,1.0035737379976153,1.062032024866192,32,512,1.005593848596674,1.0002068869991843,0.994643004623579
darcy,deeponet,tiny,50,16,0.9316898524935692,1.0657186761848767,32,512,0.989875010322824,0.834714589444811,0.8432525124284014
darcy,deeponet,tiny,100,16,0.9290297561374775,0.9820795744643893,32,512,0.9616294621578018,0.8746969127702705,0.9095987042738237
darcy,deeponet,tiny,500,16,0.9938026531336105,1.0582054921661261,32,512,1.0041035450451343,0.9766344999477372,0.9726432147033577
darcy,deeponet,tiny,1000,16,0.9907222103029214,1.1185402182923105,256,512,0.9892930212694481,0.9931041920253764,1.0038524185190731
