task,model_name,capacity_name,dataset_size,resolution,parameter_count,n_runs,n_success,n_failed,convergence_rate,divergence_rate,instability_rate,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,median_best_epoch,median_runtime_seconds,n_data_seeds,n_train_seeds,data_seeds_observed,train_seeds_observed,is_r48
burgers_operator,deeponet,med-large,150,256,197953,6,6,0,1.0,0.0,0.0,0.3629261553287506,0.013400420546531677,0.025336380834382898,0.3742825388908386,0.3514423370361328,1450.0,2.588241457939148,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,16,151873,6,6,0,1.0,0.0,0.0,0.47019919753074646,0.07225380837917328,0.16608687668270136,0.5870096683502197,0.3579552769660949,1225.0,2.513208746910095,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,32,154945,6,6,0,1.0,0.0,0.0,0.5250615477561951,0.006796061992645264,0.01830324926124674,0.5475354194641113,0.5222238898277283,1250.0,2.483806014060974,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,48,158017,6,0,6,0.0,1.0,1.0,,,,,,,,2,3,11;22,101;202;303,True
burgers_operator,deeponet,med-large,200,64,161089,6,6,0,1.0,0.0,0.0,0.4220859408378601,0.002355419099330902,0.02003271530715945,0.4414140284061432,0.4176569283008575,1525.0,3.4855101108551025,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,96,167233,6,6,0,1.0,0.0,0.0,0.38277605175971985,0.004011310636997278,0.027824406432070938,0.3965555727481842,0.3636299669742584,1475.0,2.6933960914611816,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,128,173377,6,6,0,1.0,0.0,0.0,0.3639465570449829,0.0283963605761528,0.07026791152057321,0.4110637307167053,0.3396365046501159,1575.0,3.025312900543213,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,192,185665,6,6,0,1.0,0.0,0.0,0.3515018224716186,0.004282534122467041,0.010407885821666036,0.3553193807601928,0.34544637799263,1725.0,3.311344265937805,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,256,197953,6,6,0,1.0,0.0,0.0,0.3598516881465912,0.004634648561477717,0.03261474358804617,0.375291109085083,0.3390789330005646,1250.0,2.4717233180999756,2,3,11;22,101;202;303,False
burgers_operator,deeponet,med-large,200,384,222529,6,6,0,1.0,0.0,0.0,0.350721538066864,0.00855115801095968,0.02372220881709224,0.360495775938034,0.3371261656284332,1650.0,3.432489395141602,2,3,11;22,101;202;303,False
