task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_success,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,parent_convergence_rate,parent_converged,parent_median_test_rel_l2,degradation_vs_diagonal,is_r48_train
burgers_operator,deeponet,large,1000,32,64,4,4,0.432836577296257,0.024397417902946472,0.03333119674003304,0.4451595842838287,0.419146716594696,1.0,True,0.5145923495292664,0.8411251696458428,False
burgers_operator,deeponet,large,1000,32,128,4,4,0.39210182428359985,0.02760171890258789,0.0449023629509466,0.4091707468032837,0.3741587996482849,1.0,True,0.5145923495292664,0.7619659029954153,False
burgers_operator,deeponet,large,1000,32,256,4,4,0.3894030749797821,0.026546388864517212,0.04543813134341577,0.4073967337608337,0.3708103895187378,1.0,True,0.5145923495292664,0.7567214618250667,False
burgers_operator,deeponet,large,1000,32,512,4,4,0.39156603813171387,0.025556996464729254,0.04456432778210811,0.4097040593624115,0.3729729354381561,1.0,True,0.5145923495292664,0.7609247173804794,False
burgers_operator,deeponet,large,1000,64,32,4,4,0.4951918423175812,0.01103001087903982,0.016637241014655368,0.5041244029998779,0.4858873188495636,1.0,True,0.3865600675344467,1.2810217192789946,False
burgers_operator,deeponet,large,1000,64,128,4,4,0.32819078862667084,0.018183276057243347,0.05134182657568922,0.3543713092803955,0.315343290567398,1.0,True,0.3865600675344467,0.8490033404638347,False
burgers_operator,deeponet,large,1000,64,256,4,4,0.32050560414791107,0.018484398722648676,0.05414554957148164,0.3473353981971741,0.3069435656070709,1.0,True,0.3865600675344467,0.8291223824337483,False
burgers_operator,deeponet,large,1000,64,512,4,4,0.32142652571201324,0.018246889114379883,0.05351742182562818,0.3480021059513092,0.3079290986061096,1.0,True,0.3865600675344467,0.8315047329180494,False
burgers_operator,deeponet,large,1000,128,32,4,4,0.4983244687318802,0.005817219614982605,0.01638068151704099,0.513390839099884,0.4952200353145599,1.0,True,0.3164298832416534,1.5748337787405378,False
burgers_operator,deeponet,large,1000,128,64,4,4,0.38571977615356445,0.012416623532772064,0.028156775544608242,0.4024766087532043,0.3778424561023712,1.0,True,0.3164298832416534,1.2189739230760177,False
burgers_operator,deeponet,large,1000,128,256,4,4,0.3043038547039032,0.018403127789497375,0.04940831588739431,0.3249437510967254,0.2906552851200104,1.0,True,0.3164298832416534,0.9616786239860611,False
burgers_operator,deeponet,large,1000,128,512,4,4,0.3037355840206146,0.01867490261793142,0.04975127204488263,0.3246496915817261,0.290332168340683,1.0,True,0.3164298832416534,0.9598827421386611,False
burgers_operator,deeponet,large,1000,256,32,4,4,0.5072688460350037,0.012185841798782349,0.015668510495021454,0.51605623960495,0.4999188780784607,1.0,True,0.3127976059913635,1.6217158837494734,False
burgers_operator,deeponet,large,1000,256,64,4,4,0.39482463896274567,0.009429752826690674,0.017534631271459825,0.4028218686580658,0.3876152634620666,1.0,True,0.3127976059913635,1.26223676716262,False
burgers_operator,deeponet,large,1000,256,128,4,4,0.3253094255924225,0.009496107697486877,0.02267395903547153,0.3334938883781433,0.3168964982032776,1.0,True,0.3127976059913635,1.0399997294141836,False
burgers_operator,deeponet,large,1000,256,512,4,4,0.31241206824779505,0.009807474911212921,0.024451730573522044,0.3204875886440277,0.3033125102519989,1.0,True,0.3127976059913635,0.9987674530233486,False
burgers_operator,deeponet,large,5000,32,64,4,4,0.4024629592895508,0.016392469406127985,0.030575198570760756,0.4212489128112793,0.3951060771942138,1.0,True,0.4905949831008911,0.8203568588201076,False
burgers_operator,deeponet,large,5000,32,128,4,4,0.35991497337818146,0.014563865959644318,0.03222638025233114,0.3768565058708191,0.3510317206382751,1.0,True,0.4905949831008911,0.7336295432604633,False
burgers_operator,deeponet,large,5000,32,256,4,4,0.3579503148794174,0.013688288629055079,0.031227389868623272,0.373598575592041,0.348260223865509,1.0,True,0.4905949831008911,0.7296248987646186,False
burgers_operator,deeponet,large,5000,32,512,4,4,0.3609406352043152,0.01311237365007395,0.030153361918728916,0.3758392333984375,0.3509590923786163,1.0,True,0.4905949831008911,0.7357201920878338,False
burgers_operator,deeponet,large,5000,64,32,4,4,0.5059289336204529,0.015133552253246307,0.030089731770971972,0.5251675248146057,0.4887449443340301,1.0,True,0.3988568186759949,1.2684474977759785,False
burgers_operator,deeponet,large,5000,64,128,4,4,0.34774041175842285,0.036950625479221344,0.07078971030229747,0.3738670349121094,0.3228742182254791,1.0,True,0.3988568186759949,0.8718427151696869,False
burgers_operator,deeponet,large,5000,64,256,4,4,0.33991086483001703,0.03905964642763138,0.07490680903401395,0.3665290474891662,0.3147079646587372,1.0,True,0.3988568186759949,0.8522127463142064,False
burgers_operator,deeponet,large,5000,64,512,4,4,0.3404593914747238,0.03947112709283823,0.07492979413814227,0.3669637143611908,0.315434068441391,1.0,True,0.3988568186759949,0.8535879933176991,False
burgers_operator,deeponet,large,5000,128,32,4,4,0.5037582516670227,0.004200361669063568,0.010531390189111462,0.5113317966461182,0.4984921514987945,1.0,True,0.3272589147090912,1.539326291889791,False
burgers_operator,deeponet,large,5000,128,64,4,4,0.3926035761833191,0.010187096893787384,0.01552311344535201,0.3985413014888763,0.3873177766799927,1.0,True,0.3272589147090912,1.1996726705896292,False
burgers_operator,deeponet,large,5000,128,256,4,4,0.3117681294679642,0.0119898840785026,0.027044145405525542,0.3233404457569122,0.3056227266788482,1.0,True,0.3272589147090912,0.9526650473222489,False
burgers_operator,deeponet,large,5000,128,512,4,4,0.31121814250946045,0.011896468698978424,0.027104599154039212,0.3230715095996856,0.3053502440452575,1.0,True,0.3272589147090912,0.9509844606864574,False
burgers_operator,deeponet,large,5000,256,32,4,4,0.50576251745224,0.0036838501691818237,0.011963423903580175,0.5157392024993896,0.5014218688011169,1.0,True,0.3111018240451813,1.625713764310132,False
burgers_operator,deeponet,large,5000,256,64,4,4,0.39278754591941833,0.007781565189361628,0.02102755462262089,0.4033776223659515,0.383501261472702,1.0,True,0.3111018240451813,1.2625690869056874,False
burgers_operator,deeponet,large,5000,256,128,4,4,0.32364112138748163,0.009891189634799957,0.03766054995281042,0.3346195518970489,0.3055652976036072,1.0,True,0.3111018240451813,1.0403060875029755,False
burgers_operator,deeponet,large,5000,256,512,4,4,0.3102053105831146,0.009797431528568268,0.04346823104249207,0.3219072222709656,0.2897815406322479,1.0,True,0.3111018240451813,0.9971182635626834,False
burgers_operator,deeponet,med-large,50,32,64,4,4,0.5235387980937958,0.03171379864215851,0.03652698853509103,0.5421097278594971,0.5064398050308228,1.0,True,0.5868529677391052,0.8921123805691364,False
burgers_operator,deeponet,med-large,50,32,128,4,4,0.4920654445886612,0.03606133162975311,0.043935510315265214,0.5118257999420166,0.4719025790691376,1.0,True,0.5868529677391052,0.8384816498149101,False
burgers_operator,deeponet,med-large,50,32,256,4,4,0.49004338681697845,0.03662427514791494,0.04481436718738063,0.5087818503379822,0.468414843082428,1.0,True,0.5868529677391052,0.8350360546099087,False
burgers_operator,deeponet,med-large,50,32,512,4,4,0.49160541594028473,0.03656312823295593,0.04459591195184571,0.5096186399459839,0.4694624245166778,1.0,True,0.5868529677391052,0.8376977590046638,False
burgers_operator,deeponet,med-large,50,64,32,4,4,0.5651592314243317,0.029398128390312195,0.04089930654567089,0.5941489934921265,0.5418863296508789,1.0,True,0.4929039180278778,1.1465910713096974,False
burgers_operator,deeponet,med-large,50,64,128,4,4,0.4465269148349762,0.05009608715772629,0.08175051811057665,0.4860815107822418,0.4062458276748657,1.0,True,0.4929039180278778,0.9059106623082703,False
burgers_operator,deeponet,med-large,50,64,256,4,4,0.4413129687309265,0.052585311233997345,0.08584584908166222,0.4812310934066772,0.3990010917186737,1.0,True,0.4929039180278778,0.8953326451464048,False
burgers_operator,deeponet,med-large,50,64,512,4,4,0.44181057810783386,0.05320315808057785,0.08631569407365665,0.4815504550933838,0.3990617096424103,1.0,True,0.4929039180278778,0.896342191548264,False
burgers_operator,deeponet,med-large,50,128,32,4,4,0.5706708133220673,0.023295000195503235,0.02683817573086952,0.5831926465034485,0.5523419976234436,1.0,True,0.4456760287284851,1.2804610895277284,False
burgers_operator,deeponet,med-large,50,128,64,4,4,0.4895995706319809,0.030867181718349512,0.04154873521730608,0.5038533210754395,0.4636733531951904,1.0,True,0.4456760287284851,1.0985548673748726,False
burgers_operator,deeponet,med-large,50,128,256,4,4,0.4384290277957916,0.0385712012648583,0.05876455242161603,0.457635760307312,0.406015545129776,1.0,True,0.4456760287284851,0.9837393073318994,False
