task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,deeponet,small,200,256,512,1.0159162780875526
burgers_operator,deeponet,small,300,32,64,0.8207887834079846
burgers_operator,deeponet,small,300,64,128,0.8816621886358211
burgers_operator,deeponet,small,300,128,256,0.939164839234709
burgers_operator,deeponet,small,500,16,32,1.3937684615314496
burgers_operator,deeponet,small,500,32,64,0.8161550691938889
burgers_operator,deeponet,small,500,64,128,0.8639698516920247
burgers_operator,deeponet,small,500,96,192,0.9352310157215173
burgers_operator,deeponet,small,500,128,256,1.010510053877121
burgers_operator,deeponet,small,500,192,384,1.039169756320991
burgers_operator,deeponet,small,500,256,512,0.9742304980682509
burgers_operator,deeponet,small,750,32,64,0.8105710415364985
burgers_operator,deeponet,small,750,64,128,0.8642881358939181
burgers_operator,deeponet,small,750,128,256,0.967254979437713
burgers_operator,deeponet,small,1000,16,32,1.6078200987846403
burgers_operator,deeponet,small,1000,32,64,0.8122021268070829
burgers_operator,deeponet,small,1000,64,128,0.8386621644873943
burgers_operator,deeponet,small,1000,96,192,0.9320208241727587
burgers_operator,deeponet,small,1000,128,256,0.998890358452649
burgers_operator,deeponet,small,1000,192,384,1.070028305862827
burgers_operator,deeponet,small,1000,256,512,1.040145015384585
burgers_operator,deeponet,small,2000,16,32,1.3727921142193646
burgers_operator,deeponet,small,2000,32,64,0.8002804175013681
burgers_operator,deeponet,small,2000,64,128,0.8615859170659631
burgers_operator,deeponet,small,2000,96,192,0.9259302666007064
burgers_operator,deeponet,small,2000,128,256,0.978644348149386
burgers_operator,deeponet,small,2000,192,384,1.0363418650199467
burgers_operator,deeponet,small,2000,256,512,1.0406770433019763
burgers_operator,deeponet,small,3000,32,64,0.8160374941768453
burgers_operator,deeponet,small,3000,64,128,0.8598204512016127
burgers_operator,deeponet,small,3000,128,256,1.0102412049467338
burgers_operator,deeponet,small,5000,16,32,1.5190010940287633
burgers_operator,deeponet,small,5000,32,64,0.7974815487479423
burgers_operator,deeponet,small,5000,64,128,0.8623428319269797
burgers_operator,deeponet,small,5000,96,192,0.9310999613873563
burgers_operator,deeponet,small,5000,128,256,1.0024949351505101
burgers_operator,deeponet,small,5000,192,384,1.0019066421297882
burgers_operator,deeponet,small,5000,256,512,0.9694399391903574
burgers_operator,deeponet,small-med,50,16,32,0.9128031656085978
burgers_operator,deeponet,small-med,50,32,64,0.8710839110153261
burgers_operator,deeponet,small-med,50,64,128,0.9241880281606429
burgers_operator,deeponet,small-med,50,96,192,0.9870692201446458
burgers_operator,deeponet,small-med,50,128,256,0.9817353449416445
burgers_operator,deeponet,small-med,50,192,384,1.0082288275622555
burgers_operator,deeponet,small-med,50,256,512,1.0403664331313345
burgers_operator,deeponet,small-med,100,16,32,0.9649763084351481
burgers_operator,deeponet,small-med,100,32,64,0.8346971975575475
burgers_operator,deeponet,small-med,100,64,128,0.9353100885528034
